geo_id,geo_code,name,abbreviation
1834,county-36140000,ภักดีชุมพล,-
1835,county-36150000,เนินสง่า,-
1836,county-36160000,ซับใหญ่,-
1837,county-37010000,เมืองอำนาจเจริญ,-
1838,county-37020000,ชานุมาน,-
1839,county-37030000,ปทุมราชวงศา,-
1840,county-37040000,พนา,-
1841,county-37050000,เสนางคนิคม,-
1842,county-37060000,หัวตะพาน,-
1843,county-37070000,ลืออำนาจ,-
1844,county-38010000,เมืองบึงกาฬ,-
1845,county-38020000,พรเจริญ,-
1846,county-38030000,โซ่พิสัย,-
1847,county-38040000,เซกา,-
1848,county-38050000,ปากคาด,-
1849,county-38060000,บึงโขงหลง,-
1850,county-38070000,ศรีวิไล,-
1851,county-38080000,บุ่งคล้า,-
1852,county-39010000,เมืองหนองบัวลำภู,-
1853,county-39020000,นากลาง,-
1854,county-39030000,โนนสัง,-
1855,county-39040000,ศรีบุญเรือง,-
1856,county-39050000,สุวรรณคูหา,-
1857,county-39060000,นาวัง,-
1858,county-40010000,เมืองขอนแก่น,-
1859,county-40020000,บ้านฝาง,-
1860,county-40030000,พระยืน,-
1861,county-40040000,หนองเรือ,-
1862,county-40050000,ชุมแพ,-
1863,county-40060000,สีชมพู,-
1864,county-40070000,น้ำพอง,-
1865,county-40080000,อุบลรัตน์,-
1866,county-40090000,กระนวน,-
1867,county-40100000,บ้านไผ่,-
1868,county-40110000,เปือยน้อย,-
1869,county-40120000,พล,-
1870,county-40130000,แวงใหญ่,-
1871,county-40140000,แวงน้อย,-
1872,county-40150000,หนองสองห้อง,-
1873,county-40160000,ภูเวียง,-
1874,county-40170000,มัญจาคีรี,-
1875,county-40180000,ชนบท,-
1876,county-40190000,เขาสวนกวาง,-
1877,county-40200000,ภูผาม่าน,-
1878,county-40210000,ซำสูง,-
1879,county-40220000,โคกโพธิ์ไชย,-
1880,county-40230000,หนองนาคำ,-
1881,county-40240000,บ้านแฮด,-
1882,county-40250000,โนนศิลา,-
1883,county-40290000,เวียงเก่า,-
1884,county-41010000,เมืองอุดรธานี,-
1885,county-41020000,กุดจับ,-
1886,county-41030000,หนองวัวซอ,-
1887,county-41040000,กุมภวาปี,-
1888,county-41050000,โนนสะอาด,-
1889,county-41060000,หนองหาน,-
1890,county-41070000,ทุ่งฝน,-
1891,county-41080000,ไชยวาน,-
1892,county-41090000,ศรีธาตุ,-
1893,county-41100000,วังสามหมอ,-
1894,county-41110000,บ้านดุง,-
1895,county-41170000,บ้านผือ,-
1896,county-41180000,น้ำโสม,-
1897,county-41190000,เพ็ญ,-
1898,county-41200000,สร้างคอม,-
1899,county-41210000,หนองแสง,-
1900,county-41220000,นายูง,-
1901,county-41230000,พิบูลย์รักษ์,-
1902,county-41240000,กู่แก้ว,-
1903,county-41250000,ประจักษ์ศิลปาคม,-
1904,county-42010000,เมืองเลย,-
1905,county-42020000,นาด้วง,-
1906,county-42030000,เชียงคาน,-
1907,county-42040000,ปากชม,-
1908,county-42050000,ด่านซ้าย,-
1909,county-42060000,นาแห้ว,-
1910,county-42070000,ภูเรือ,-
1911,county-42080000,ท่าลี่,-
1912,county-42090000,วังสะพุง,-
1913,county-42100000,ภูกระดึง,-
