,geo_id,state_id
777,2273,1482
778,2274,1482
779,2275,1482
780,2276,1482
781,2277,1482
782,2278,1482
783,2279,1482
784,2280,1482
785,2281,1482
786,2282,1482
787,2283,1482
788,2284,1482
789,2285,1482
790,2286,1482
791,2287,1482
792,2288,1482
793,2289,1482
794,2290,1482
795,2291,1482
796,2292,1482
797,2293,1482
798,2294,1482
799,2295,1482
800,2296,1483
801,2297,1483
802,2298,1483
803,2299,1483
804,2300,1483
805,2301,1483
806,2302,1483
807,2303,1483
808,2304,1484
809,2305,1484
810,2306,1484
811,2307,1484
812,2308,1484
813,2309,1484
814,2310,1484
815,2311,1484
816,2312,1485
817,2313,1485
818,2314,1485
819,2315,1486
820,2316,1486
821,2317,1486
822,2318,1486
823,2319,1486
824,2320,1486
825,2321,1486
826,2322,1486
827,2323,1486
828,2324,1486
829,2325,1486
830,2326,1486
831,2327,1486
832,2328,1486
833,2329,1486
834,2330,1486
835,2331,1486
836,2332,1486
837,2333,1486
838,2334,1487
839,2335,1487
840,2336,1487
841,2337,1487
842,2338,1487
843,2339,1488
844,2340,1488
845,2341,1488
846,2342,1488
847,2343,1488
848,2344,1488
849,2345,1488
850,2346,1488
851,2347,1489
852,2348,1489
853,2349,1489
854,2350,1489
855,2351,1489
856,2352,1489
857,2353,1489
858,2354,1489
859,2355,1489
860,2356,1489
861,2357,1489
862,2358,1489
863,2359,1489
864,2360,1489
865,2361,1489
866,2362,1489
867,2363,1490
868,2364,1490
869,2365,1490
870,2366,1490
871,2367,1490
872,2368,1490
873,2369,1490
874,2370,1491
875,2371,1491
876,2372,1491
877,2373,1491
878,2374,1491
879,2375,1491
880,2376,1491
881,2377,1491
882,2378,1491
883,2379,1491
884,2380,1492
885,2381,1492
886,2382,1492
887,2383,1492
888,2384,1492
889,2385,1492
890,2386,1492
891,2387,1492
892,2388,1492
893,2389,1492
894,2390,1492
895,2391,1493
896,2392,1493
897,2393,1493
898,2394,1493
899,2395,1493
900,2396,1493
901,2397,1493
902,2398,1493
903,2399,1493
904,2400,1493
905,2401,1493
906,2402,1493
907,2403,1494
908,2404,1494
909,2405,1494
910,2406,1494
911,2407,1494
912,2408,1494
913,2409,1494
914,2410,1494
915,2411,1495
916,2412,1495
