,geo_id,geo_code,name,abbreviation,type_id
188,444,postal-22110,ขลุง,22110,6
189,445,postal-22150,ขลุง,22150,6
190,446,postal-22120,ท่าใหม่,22120,6
191,447,postal-22170,ท่าใหม่,22170,6
192,448,postal-22140,โป่งน้ำร้อน,22140,6
193,449,postal-22150,มะขาม,22150,6
194,450,postal-22130,แหลมสิงห์,22130,6
195,451,postal-22190,แหลมสิงห์,22190,6
196,452,postal-22120,แหลมสิงห์,22120,6
197,453,postal-22180,สอยดาว,22180,6
198,454,postal-22160,แก่งหางแมว,22160,6
199,455,postal-22160,นายายอาม,22160,6
200,456,postal-22170,นายายอาม,22170,6
201,457,postal-22210,เขาคิชฌกูฏ,22210,6
202,458,postal-23000,เมืองตราด,23000,6
203,459,postal-23110,คลองใหญ่,23110,6
204,460,postal-23130,เขาสมิง,23130,6
205,461,postal-23150,เขาสมิง,23150,6
206,462,postal-23140,บ่อไร่,23140,6
207,463,postal-23120,แหลมงอบ,23120,6
208,464,postal-23000,เกาะกูด,23000,6
209,465,postal-23170,เกาะช้าง,23170,6
210,466,postal-24000,เมืองฉะเชิงเทรา,24000,6
211,467,postal-24110,บางคล้า,24110,6
212,468,postal-24150,บางน้ำเปรี้ยว,24150,6
213,469,postal-24170,บางน้ำเปรี้ยว,24170,6
214,470,postal-24000,บางน้ำเปรี้ยว,24000,6
215,471,postal-24130,บางปะกง,24130,6
216,472,postal-24180,บางปะกง,24180,6
217,473,postal-24140,บ้านโพธิ์,24140,6
218,474,postal-24120,พนมสารคาม,24120,6
219,475,postal-24120,ราชสาส์น,24120,6
220,476,postal-24160,สนามชัยเขต,24160,6
221,477,postal-24190,แปลงยาว,24190,6
222,478,postal-24160,ท่าตะเกียบ,24160,6
223,479,postal-24000,คลองเขื่อน,24000,6
224,480,postal-24110,คลองเขื่อน,24110,6
225,481,postal-25000,เมืองปราจีนบุรี,25000,6
226,482,postal-25230,เมืองปราจีนบุรี,25230,6
227,483,postal-25110,กบินทร์บุรี,25110,6
228,484,postal-25240,กบินทร์บุรี,25240,6
229,485,postal-25220,นาดี,25220,6
230,486,postal-25150,บ้านสร้าง,25150,6
231,487,postal-25130,ประจันตคาม,25130,6
232,488,postal-25140,ศรีมหาโพธิ,25140,6
233,489,postal-25190,ศรีมโหสถ,25190,6
234,490,postal-26000,เมืองนครนายก,26000,6
235,491,postal-26130,ปากพลี,26130,6
236,492,postal-26110,บ้านนา,26110,6
237,493,postal-26120,องครักษ์,26120,6
238,494,postal-27000,เมืองสระแก้ว,27000,6
239,495,postal-27260,คลองหาด,27260,6
240,496,postal-27180,ตาพระยา,27180,6
241,497,postal-27210,วังน้ำเย็น,27210,6
242,498,postal-27160,วัฒนานคร,27160,6
243,499,postal-27120,อรัญประเทศ,27120,6
244,500,postal-27000,เขาฉกรรจ์,27000,6
245,501,postal-27120,โคกสูง,27120,6
246,502,postal-27180,โคกสูง,27180,6
247,503,postal-27250,วังสมบูรณ์,27250,6
248,504,postal-30000,เมืองนครราชสีมา,30000,6
249,505,postal-30310,เมืองนครราชสีมา,30310,6
250,506,postal-30280,เมืองนครราชสีมา,30280,6
251,507,postal-30250,ครบุรี,30250,6
252,508,postal-30330,เสิงสาง,30330,6
253,509,postal-30260,คง,30260,6
254,510,postal-30350,บ้านเหลื่อม,30350,6
255,511,postal-30230,จักราช,30230,6
256,512,postal-30190,โชคชัย,30190,6
257,513,postal-30210,ด่านขุนทด,30210,6
258,514,postal-36220,ด่านขุนทด,36220,6
259,515,postal-30220,โนนไทย,30220,6
260,516,postal-30160,โนนสูง,30160,6
261,517,postal-30420,โนนสูง,30420,6
262,518,postal-30290,ขามสะแกแสง,30290,6
263,519,postal-30120,บัวใหญ่,30120,6
264,520,postal-30180,ประทาย,30180,6
265,521,postal-30150,ปักธงชัย,30150,6
266,522,postal-30110,พิมาย,30110,6
267,523,postal-30240,ห้วยแถลง,30240,6
268,524,postal-30270,ชุมพวง,30270,6
269,525,postal-30170,สูงเนิน,30170,6
270,526,postal-30380,สูงเนิน,30380,6
271,527,postal-30280,ขามทะเลสอ,30280,6
272,528,postal-30140,สีคิ้ว,30140,6
273,529,postal-30340,สีคิ้ว,30340,6
274,530,postal-30130,ปากช่อง,30130,6
275,531,postal-30320,ปากช่อง,30320,6
276,532,postal-30410,หนองบุญมาก,30410,6
277,533,postal-30440,แก้งสนามนาง,30440,6
278,534,postal-30360,โนนแดง,30360,6
279,535,postal-30370,วังน้ำเขียว,30370,6
280,536,postal-30150,วังน้ำเขียว,30150,6
281,537,postal-30210,เทพารักษ์,30210,6
282,538,postal-30270,เมืองยาง,30270,6
283,539,postal-30220,พระทองคำ,30220,6
284,540,postal-30270,ลำทะเมนชัย,30270,6
285,541,postal-30120,บัวลาย,30120,6
286,542,postal-30430,สีดา,30430,6
287,543,postal-30230,เฉลิมพระเกียรติ,30230,6
288,544,postal-30000,เฉลิมพระเกียรติ,30000,6
289,545,postal-31000,เมืองบุรีรัมย์,31000,6
290,546,postal-31190,คูเมือง,31190,6
291,547,postal-31160,กระสัง,31160,6
292,548,postal-31110,นางรอง,31110,6
293,549,postal-31210,หนองกี่,31210,6
294,550,postal-31170,ละหานทราย,31170,6
295,551,postal-31140,ประโคนชัย,31140,6
296,552,postal-31180,บ้านกรวด,31180,6
297,553,postal-31120,พุทไธสง,31120,6
298,554,postal-31130,ลำปลายมาศ,31130,6
