geo_id,geo_code,name_en,name_th,abbreviation,type_id
2520,10221000,Khuha Sawan,คูหาสวรรค์,10221000,12
2521,10230200,Nong Khaem,หนองแขม,10230200,12
2522,10230300,Nong Khang Phlu,หนองค้างพลู,10230300,12
2523,10240100,Rat Burana,ราษฎร์บูรณะ,10240100,12
2524,10240200,Bang Pa Kok,บางปะกอก,10240200,12
2525,10250100,Bang Phlat,บางพลัด,10250100,12
2526,10250200,Bang O,บางอ้อ,10250200,12
2527,10250300,Bang Bamru,บางบำหรุ,10250300,12
2528,10250400,Bang Yi Khan,บางยี่ขัน,10250400,12
2529,10260100,Din Daeng,ดินแดง,10260100,12
2530,10260200,Ratchadaphisek,รัชดาภิเษก,10260200,12
2531,10270100,Khlong Kum,คลองกุ่ม,10270100,12
2532,10270400,Nawamin,นวมินทร์,10270400,12
2533,10270500,Nuan Chan,นวลจันทร์,10270500,12
2534,10280100,Thung Wat Don,ทุ่งวัดดอน,10280100,12
2535,10280200,Yan Nawa,ยานนาวา,10280200,12
2536,10280300,Thung Maha Mek,ทุ่งมหาเมฆ,10280300,12
2537,10290100,Bang Sue,บางซื่อ,10290100,12
2538,10290200,Wong Sawang,วงศ์สว่าง,10290200,12
2539,10300100,Lat Yao,ลาดยาว,10300100,12
2540,10300200,Sena Nikhom,เสนานิคม,10300200,12
2541,10300300,Chan Kasem,จันทรเกษม,10300300,12
2542,10300400,Chom Phon,จอมพล,10300400,12
2543,10300500,Chatuchak,จตุจักร,10300500,12
2544,10310100,Bang Kho Laem,บางคอแหลม,10310100,12
2545,10310200,Wat Phraya Krai,วัดพระยาไกร,10310200,12
2546,10310300,Bang Khlo,บางโคล่,10310300,12
2547,10320100,Prawet,ประเวศ,10320100,12
2548,10320200,Nong Bon,หนองบอน,10320200,12
2549,10320300,Dok Mai,ดอกไม้,10320300,12
2550,10330100,Khlong Toei,คลองเตย,10330100,12
2551,10330200,Khlong Tan,คลองตัน,10330200,12
2552,10330300,Phra Khanong,พระโขนง,10330300,12
2553,10340100,Suan Luang,สวนหลวง,10340100,12
2554,10340200,On Nut,อ่อนนุช,10340200,12
2555,10340300,Phatthanakan,พัฒนาการ,10340300,12
2556,10350100,Bang Khun Thian,บางขุนเทียน,10350100,12
2557,10350200,Bang Kho,บางค้อ,10350200,12
2558,10350300,Bang Mot,บางมด,10350300,12
2559,10350400,Chom Thong,จอมทอง,10350400,12
2560,10360200,Si Kan,สีกัน,10360200,12
