geo_id,geo_code,name_en,name_th,abbreviation,type_id
1647,22030000,Tha Mai,ท่าใหม่,-,5
1648,22040000,Pong Nam Ron,โป่งน้ำร้อน,-,5
1649,22050000,Makham,มะขาม,-,5
1650,22060000,Laem Sing,แหลมสิงห์,-,5
1651,22070000,Soi Dao,สอยดาว,-,5
1652,22080000,Kaeng Hang Maeo,แก่งหางแมว,-,5
1653,22090000,Na Yai Am,นายายอาม,-,5
1654,22100000,Khoa Khitchakut,เขาคิชฌกูฏ,-,5
1655,23010000,Mueang Trat,เมืองตราด,-,5
1656,23020000,Khlong Yai,คลองใหญ่,-,5
1657,23030000,Khao Saming,เขาสมิง,-,5
1658,23040000,Bo Rai,บ่อไร่,-,5
1659,23050000,Laem Ngop,แหลมงอบ,-,5
1660,23060000,Ko Kut,เกาะกูด,-,5
1661,23070000,Ko Chang,เกาะช้าง,-,5
1662,24010000,Mueang Chachoengsao,เมืองฉะเชิงเทรา,-,5
1663,24020000,Bang Khla,บางคล้า,-,5
1664,24030000,Bang Nam Priao,บางน้ำเปรี้ยว,-,5
1665,24040000,Bang Pakong,บางปะกง,-,5
1666,24050000,Ban Pho,บ้านโพธิ์,-,5
1667,24060000,Phanom Sarakham,พนมสารคาม,-,5
1668,24070000,Ratchasan,ราชสาส์น,-,5
1669,24080000,Sanam Chai Khet,สนามชัยเขต,-,5
1670,24090000,Plaeng Yao,แปลงยาว,-,5
1671,24100000,Tha Takiap,ท่าตะเกียบ,-,5
1672,24110000,Khlong Khuean,คลองเขื่อน,-,5
1673,25010000,Mueang Prachin Buri,เมืองปราจีนบุรี,-,5
1674,25020000,Kabin Buri,กบินทร์บุรี,-,5
1675,25030000,Na Di,นาดี,-,5
1676,25060000,Ban Sang,บ้านสร้าง,-,5
1677,25070000,Prachantakham,ประจันตคาม,-,5
1678,25080000,Si Maha Phot,ศรีมหาโพธิ,-,5
1679,25090000,Si Mahosot,ศรีมโหสถ,-,5
1680,26010000,Mueang Nakhon Nayok,เมืองนครนายก,-,5
1681,26020000,Pak Phli,ปากพลี,-,5
1682,26030000,Ban Na,บ้านนา,-,5
1683,26040000,Ongkharak,องครักษ์,-,5
1684,27010000,Mueang Sa Kaeo,เมืองสระแก้ว,-,5
1685,27020000,Khlong Hat,คลองหาด,-,5
1686,27030000,Ta Phraya,ตาพระยา,-,5
1687,27040000,Wang Nam Yen,วังน้ำเย็น,-,5
1688,27050000,Watthana Nakhon,วัฒนานคร,-,5
1689,27060000,Aranyaprathet,อรัญประเทศ,-,5
1690,27070000,Khao Chakan,เขาฉกรรจ์,-,5
1691,27080000,Khok Sung,โคกสูง,-,5
1692,27090000,Wang Sombun,วังสมบูรณ์,-,5
1693,30010000,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,-,5
1694,30020000,Khon Buri,ครบุรี,-,5
1695,30030000,Soeng Sang,เสิงสาง,-,5
1696,30040000,Khong,คง,-,5
1697,30050000,Ban Lueam,บ้านเหลื่อม,-,5
1698,30060000,Chakkarat,จักราช,-,5
1699,30070000,Chok Chai,โชคชัย,-,5
1700,30080000,Dan Khun Thot,ด่านขุนทด,-,5
1701,30090000,Non Thai,โนนไทย,-,5
1702,30100000,Non Sung,โนนสูง,-,5
1703,30110000,Kham Sakaesaeng,ขามสะแกแสง,-,5
1704,30120000,Bua Yai,บัวใหญ่,-,5
1705,30130000,Prathai,ประทาย,-,5
1706,30140000,Pak Thong Chai,ปักธงชัย,-,5
1707,30150000,Phimai,พิมาย,-,5
1708,30160000,Huai Thalaeng,ห้วยแถลง,-,5
1709,30170000,Chum Phuang,ชุมพวง,-,5
1710,30180000,Sung Noen,สูงเนิน,-,5
1711,30190000,Kham Thale So,ขามทะเลสอ,-,5
1712,30200000,Sikhio,สีคิ้ว,-,5
1713,30210000,Pak Chong,ปากช่อง,-,5
1714,30220000,Nong Bunnak,หนองบุญมาก,-,5
1715,30230000,Kaeng Sanam Nang,แก้งสนามนาง,-,5
1716,30240000,Non Daeng,โนนแดง,-,5
1717,30250000,Wang Nam Khiao,วังน้ำเขียว,-,5
1718,30260000,Thepharak,เทพารักษ์,-,5
1719,30270000,Mueang Yang,เมืองยาง,-,5
1720,30280000,Phra Thong Kham,พระทองคำ,-,5
1721,30290000,Lam Thamenchai,ลำทะเมนชัย,-,5
1722,30300000,Bua Lai,บัวลาย,-,5
1723,30310000,Sida,สีดา,-,5
1724,30320000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1724,30320000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
1724,30320000,Chaloem Phra Kiat,เฉลิมพระเกียรติ,-,5
