geo_id,geo_code,name,abbreviation,type_id
1693,county-30010000,เมืองนครราชสีมา,-,5
1694,county-30020000,ครบุรี,-,5
1695,county-30030000,เสิงสาง,-,5
1696,county-30040000,คง,-,5
1697,county-30050000,บ้านเหลื่อม,-,5
1698,county-30060000,จักราช,-,5
1699,county-30070000,โชคชัย,-,5
1700,county-30080000,ด่านขุนทด,-,5
1701,county-30090000,โนนไทย,-,5
1702,county-30100000,โนนสูง,-,5
1703,county-30110000,ขามสะแกแสง,-,5
1704,county-30120000,บัวใหญ่,-,5
1705,county-30130000,ประทาย,-,5
1706,county-30140000,ปักธงชัย,-,5
1707,county-30150000,พิมาย,-,5
1708,county-30160000,ห้วยแถลง,-,5
1709,county-30170000,ชุมพวง,-,5
1710,county-30180000,สูงเนิน,-,5
1711,county-30190000,ขามทะเลสอ,-,5
1712,county-30200000,สีคิ้ว,-,5
1713,county-30210000,ปากช่อง,-,5
1714,county-30220000,หนองบุญมาก,-,5
1715,county-30230000,แก้งสนามนาง,-,5
1716,county-30240000,โนนแดง,-,5
1717,county-30250000,วังน้ำเขียว,-,5
1718,county-30260000,เทพารักษ์,-,5
1719,county-30270000,เมืองยาง,-,5
1720,county-30280000,พระทองคำ,-,5
1721,county-30290000,ลำทะเมนชัย,-,5
1722,county-30300000,บัวลาย,-,5
1723,county-30310000,สีดา,-,5
1724,county-30320000,เฉลิมพระเกียรติ,-,5
1725,county-31010000,เมืองบุรีรัมย์,-,5
1726,county-31020000,คูเมือง,-,5
1727,county-31030000,กระสัง,-,5
1728,county-31040000,นางรอง,-,5
1729,county-31050000,หนองกี่,-,5
1730,county-31060000,ละหานทราย,-,5
1731,county-31070000,ประโคนชัย,-,5
1732,county-31080000,บ้านกรวด,-,5
1733,county-31090000,พุทไธสง,-,5
1734,county-31100000,ลำปลายมาศ,-,5
1735,county-31110000,สตึก,-,5
1736,county-31120000,ปะคำ,-,5
1737,county-31130000,นาโพธิ์,-,5
1738,county-31140000,หนองหงส์,-,5
1739,county-31150000,พลับพลาชัย,-,5
1740,county-31160000,ห้วยราช,-,5
1741,county-31170000,โนนสุวรรณ,-,5
1742,county-31180000,ชำนิ,-,5
1743,county-31190000,บ้านใหม่ไชยพจน์,-,5
1744,county-31200000,โนนดินแดง,-,5
1745,county-31210000,บ้านด่าน,-,5
1746,county-31220000,แคนดง,-,5
1747,county-31230000,เฉลิมพระเกียรติ,-,5
1748,county-32010000,เมืองสุรินทร์,-,5
1749,county-32020000,ชุมพลบุรี,-,5
1750,county-32030000,ท่าตูม,-,5
1751,county-32040000,จอมพระ,-,5
1752,county-32050000,ปราสาท,-,5
1753,county-32060000,กาบเชิง,-,5
1754,county-32070000,รัตนบุรี,-,5
1755,county-32080000,สนม,-,5
1756,county-32090000,ศีขรภูมิ,-,5
1757,county-32100000,สังขะ,-,5
1758,county-32110000,ลำดวน,-,5
1759,county-32120000,สำโรงทาบ,-,5
1760,county-32130000,บัวเชด,-,5
1761,county-32140000,พนมดงรัก,-,5
1762,county-32150000,ศรีณรงค์,-,5
1763,county-32160000,เขวาสินรินทร์,-,5
1764,county-32170000,โนนนารายณ์,-,5
1765,county-33010000,เมืองศรีสะเกษ,-,5
1766,county-33020000,ยางชุมน้อย,-,5
1767,county-33030000,กันทรารมย์,-,5
1768,county-33040000,กันทรลักษ์,-,5
1769,county-33050000,ขุขันธ์,-,5
1770,county-33060000,ไพรบึง,-,5
1771,county-33070000,ปรางค์กู่,-,5
1772,county-33080000,ขุนหาญ,-,5
1773,county-33090000,ราษีไศล,-,5
1774,county-33100000,อุทุมพรพิสัย,-,5
1775,county-33110000,บึงบูรพ์,-,5
1776,county-33120000,ห้วยทับทัน,-,5
