ทำเนียบท้องที่,Unnamed: 1,Unnamed: 2,Unnamed: 3
รหัสจังหวัด 2 หลัก // อำเภอ 2 หลัก // ตำบล 2 หลัก,,,
ข้อมูล ณ วันที่ 1 กันยายน 2566,,,
,,,
รหัสจังหวัด 2 หลัก//อำเภอ 4 หลัก//ตำบล 6 หลัก,จังหวัด/อำเภอ/ตำบล ภาษาไทย,จังหวัด/อำเภอ/ตำบล ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
10250100,บางพลัด,Bang Phlat,0
10250200,บางอ้อ,Bang O,0
10250300,บางบำหรุ,Bang Bamru,0
10250400,บางยี่ขัน,Bang Yi Khan,0
10260000,เขตดินแดง,Din Daeng,0
10260100,ดินแดง,Din Daeng,0
10260200,รัชดาภิเษก,Ratchadaphisek,0
10270000,เขตบึงกุ่ม,Bueng Kum,0
10270100,คลองกุ่ม,Khlong Kum,0
10270200,สะพานสูง*,Saphan Sung,25561218
10270300,คันนายาว*,Khan Na Yao,25561218
10270400,นวมินทร์,Nawamin,0
10270500,นวลจันทร์,Nuan Chan,0
10280000,เขตสาทร,Sathon,0
10280100,ทุ่งวัดดอน,Thung Wat Don,0
10280200,ยานนาวา,Yan Nawa,0
10280300,ทุ่งมหาเมฆ,Thung Maha Mek,0
10290000,เขตบางซื่อ,Bang Sue,0
10290100,บางซื่อ,Bang Sue,0
10290200,วงศ์สว่าง,Wong Sawang,0
10300000,เขตจตุจักร,Chatuchak,0
10300100,ลาดยาว,Lat Yao,0
10300200,เสนานิคม,Sena Nikhom,0
10300300,จันทรเกษม,Chan Kasem,0
10300400,จอมพล,Chom Phon,0
10300500,จตุจักร,Chatuchak,0
10310000,เขตบางคอแหลม,Bang Kho Laem,0
10310100,บางคอแหลม,Bang Kho Laem,0
10310200,วัดพระยาไกร,Wat Phraya Krai,0
10310300,บางโคล่,Bang Khlo,0
10320000,เขตประเวศ,Prawet,0
10320100,ประเวศ,Prawet,0
10320200,หนองบอน,Nong Bon,0
10320300,ดอกไม้,Dok Mai,0
10320400,สวนหลวง*,Suan Luang,25561218
10330000,เขตคลองเตย,Khlong Toei,0
